year,world_gdp_pc_weighted,world_life_expectancy_weighted,world_income_growth_weighted,world_population_total
2015,20709.108255303767,77.13605225173401,,2744846503.0
2016,20866.16606945251,77.36663387048688,,2761781233.0
2017,22016.619342696296,77.401201263708,,2778232660.0
2018,23626.012942676894,77.68861043846151,,2794221995.0
2019,23749.50903813631,77.91445893994174,,2807601913.0
2020,23447.463394892893,77.41339679940636,,2818294344.0
2021,26796.66860043405,77.29147557876439,,2824721515.0
2022,27353.865011613645,77.71082244878957,,2835226794.0
2023,28686.658856182254,77.87701689154007,,2845735296.0
2024,29781.75494387699,77.86528365320713,,2855010217.0
